
 DEATH KNIGHTS OF KRYNN

   HEXADECIMAL     DECIMAL
   OFFSET          OFFSET      LENGTH        DESCRIPTION
   0A6             166              1        ???                 
   0A7             167              1        ???                 
   0A8             168              1        ???                 
   0A9             169              1        ???                 
   0AA             170              1        ???                 
   0AB             171              1        ???                 
   0AC             172              1        ???                 
   0AD             173              1        ???                 
   0AE             174              1        ???                 
   0AF             175              1        ???                 
   0B0             176              1        ???                 
   0B1             177              1        ???                 
   0B2             178              1        ???                 
   0B3             179              1        ???                 
   0B4             180              1        ???                 
   0B5             181              1        ???                 
   0B6             182              1        ???                 
   0B7 - 0B8       183 - 184        2        encumbrance              
   0B9             185              1        ???                 
   0BA             186              1        ???                 
   0BB             187              1        ???                 
   0BC             188              1        ???                 
   0BD             189              1        in combat 1              
   0BE             190              1        ???                 
   0BF             191              1        in combat 2              
   0C0             192              1        in combat 3              
   0C1             193              1        ???                 
   0C2             194              1        ???                 
   0C3             195              1        ???                 
   0C4             196              1        ???                 
   0C5             197              1        ???                 
   0C6             198              1        ???                 
   0C7             199              1        status                   
   0C8             200              1        enabled                  
   0C9             201              1        ???                 
   0CA             202              1        quickfight               
   0CB             203              1        thac0 current            
   0CC             204              1        ac current               
   0CD             205              1        ???                 
   0CE             206              1        current attacks          
   0CF             207              1        current attacks 2        
   0D0             208              1        current rolls            
   0D1             209              1        current rolls 2          
   0D2             210              1        current dice             
   0D3             211              1        current dice 2           
   0D4             212              1        current modifier         
   0D5             213              1        current modifier 2       
   0D6             214              1        hit points current       
   0D7             215              1        movement current         

 RACE VALUES:
   00: silvanesti elf
   01: qualinesti elf
   02: half-elf
   03: mountain dwarf
   04: hill dwarf
   05: kender
   06: human
   07: monster

 GENDER VALUES:
   00: male
   01: female

 CLASS VALUES:
   00: cleric
   01: druid
   02: fighter
   03: paladin
   04: ranger
   05: mage
   06: thief
   07: knight
   08: cleric/fighter
   09: cleric/fighter/mage
   0A: cleric/ranger
   0B: cleric/mage
   0C: cleric/thief
   0D: fighter/mage
   0E: fighter/thief
   0F: fighter/mage/thief
   10: mage/thief
   11: ok buddy, who are you?

 ALIGNMENT VALUES:
   00: lawful good
   01: lawful neutral
   02: lawful evil
   03: neutral good
   04: true neutral
   05: neutral evil
   06: chaotic good
   07: chaotic neutral
   08: chaotic evil

 STATUS VALUES:
   00: okay
   01: animated
   02: tempgone
   03: running
   04: unconscious
   05: dying
   06: dead
   07: stoned
   08: gone

 KNIGHT VALUES:
   00: -
   01: crown
   02: sword
   03: rose

 GOD VALUES:
   00: -
   01: paladine
   02: majere
   03: kiri-jolith
   04: mishakal
   05: sirrion
   06: reorx
   07: shinare

 ROBE VALUES:
   00: -
   01: white
   02: red
   03: black
