
 MATRIX CUBED

   HEXADECIMAL     DECIMAL
   OFFSET          OFFSET      LENGTH        DESCRIPTION
   0B2 - 0B3       178 - 179        2        xp award                 
   0B4             180              1        ???                 
   0B5             181              1        ???                 
   0B6             182              1        ???                 
   0B7             183              1        ???                 
   0B8             184              1        icon                     
   0B9             185              1        ???                 
   0BA             186              1        ???                 
   0BB             187              1        ???                 
   0BC             188              1        ???                 
   0BD             189              1        ???                 
   0BE             190              1        ???                 
   0BF             191              1        ???                 
   0C0             192              1        ???                 
   0C1             193              1        ???                 
   0C2             194              1        ???                 
   0C3             195              1        ???                 
   0C4             196              1        ???                 
   0C5             197              1        ???                 
   0C6             198              1        ???                 
   0C7             199              1        ???                 
   0C8             200              1        ???                 
   0C9             201              1        ???                 
   0CA             202              1        ???                 
   0CB             203              1        ???                 
   0CC             204              1        ???                 
   0CD             205              1        ???                 
   0CE             206              1        ???                 
   0CF             207              1        ???                 
   0D0             208              1        ???                 
   0D1             209              1        ???                 
   0D2             210              1        ???                 
   0D3             211              1        ???                 
   0D4             212              1        status                   
   0D5             213              1        enabled                  
   0D6             214              1        ???                 
   0D7             215              1        quickfight               
   0D8             216              1        thac0 current            
   0D9             217              1        ac current               
   0DA             218              1        ???                 
   0DB             219              1        ???                 
   0DC             220              1        ???                 
   0DD             221              1        current rolls            
   0DE             222              1        current rolls 2          
   0DF             223              1        current dice             
   0E0             224              1        current dice 2           
   0E1             225              1        current modifier         
   0E2             226              1        current modifier 2       
   0E3             227              1        hit points current       
   0E4             228              1        ???                 
   0E5             229              1        movement current         
   0E6             230              1        ???                 
   0E7             231              1        ???                 
   0E8 - 0E9       232 - 233        2        encumbrance              
   0EA             234              1        ???                 
   0EB             235              1        ???                 
   0EC             236              1        ???                 
   0ED             237              1        ???                 
   0EE             238              1        ???                 
   0EF             239              1        ???                 
   0F0             240              1        ???                 
   0F1             241              1        ???                 
   0F2             242              1        ???                 
   0F3             243              1        in combat 1              
   0F4             244              1        ???                 
   0F5             245              1        in combat 2              
   0F6             246              1        in combat 3              
   0F7             247              1        ???                 
   0F8             248              1        ???                 
   0F9             249              1        ???                 
   0FA             250              1        ???                 
   0FB             251              1        ???                 
   0FC             252              1        ???                 
   0FD             253              1        ???                 
   0FE             254              1        ???                 
   0FF             255              1        ???                 
   100             256              1        ???                 
   101             257              1        ???                 
   102             258              1        ???                 

 RACE VALUES:
   00: monster
   01: terran
   02: martian
   03: venusian
   04: mercurian
   05: tinker
   06: desert runner
   07: lunarian
   08: lowlander

 GENDER VALUES:
   00: male
   01: female

 CLASS VALUES:
   00: -
   01: rocketjock
   02: medic
   03: warrior
   04: engineer
   05: rogue
   06: scout

 STATUS VALUES:
   00: -
   01: okay
   02: gone
   03: dead
   04: dying
   05: unconscious
   06: fleeing
   07: poisoned
   08: comatose
   09: not here
   0A: dodging
   0B: sprinting
   0C: failed zerog
   0D: used jetpack
   0E: jetpack
